#Release 12.1 - par M.53d (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Tue Apr 23 16:17:01 2024

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       sumavg_dp_map.ncd
#OUTPUT FILE:      sumavg_dp_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
G5,,,GND,,,,,,,,,,,,
G6,,IOBS,IO_L53N_M3A12_3,UNUSED,,3,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,NC,,,,,,,,,,,,
G9,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,,,NC,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,mem_addr<8>,IOB,IO_L32N_A16_M1A9_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
G14,mem_addr<4>,IOB,IO_L30N_A20_M1A11_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
G15,,,VCCO_1,,,1,,,,,2.50,,,,
G16,mem_dataout<8>,IOB,IO_L38P_A5_M1CLK_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G17,,,GND,,,,,,,,,,,,
G18,mem_dataout<9>,IOB,IO_L38N_A4_M1CLKN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H1,load_R_D1,IOB,IO_L41N_GCLK26_M3DQ5_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,mem_datain<15>,IOB,IO_L41P_GCLK27_M3DQ4_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
H3,CLK,IOB,IO_L44N_GCLK20_M3A6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H4,mem_datain<18>,IOB,IO_L44P_GCLK21_M3A5_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
H5,mem_datain<28>,IOB,IO_L49N_M3A2_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
H6,mem_datain<27>,IOB,IO_L49P_M3A7_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
H7,,IOBM,IO_L53P_M3CKE_3,UNUSED,,3,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCINT,,,,,,,,1.2,,,,
H12,mem_addr<9>,IOB,IO_L32P_A17_M1A8_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
H13,mem_dataout<4>,IOB,IO_L36P_A9_M1BA0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H14,mem_dataout<5>,IOB,IO_L36N_A8_M1BA1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H15,mem_dataout<6>,IOB,IO_L37P_A7_M1A0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H16,mem_dataout<7>,IOB,IO_L37N_A6_M1A1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H17,mem_dataout<18>,IOB,IO_L43P_GCLK5_M1DQ4_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H18,mem_dataout<19>,IOB,IO_L43N_GCLK4_M1DQ5_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J1,mem_datain<14>,IOB,IO_L40N_M3DQ7_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
J2,,,VCCO_3,,,3,,,,,2.50,,,,
J3,mem_datain<13>,IOB,IO_L40P_M3DQ6_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
J4,,,GND,,,,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,2.50,,,,
J6,mem_datain<24>,IOB,IO_L47N_M3A1_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
J7,mem_datain<23>,IOB,IO_L47P_M3A0_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCAUX,,,,,,,,2.5,,,,
J13,mem_dataout<10>,IOB,IO_L39P_M1A3_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J14,,,VCCO_1,,,1,,,,,2.50,,,,
J15,,,GND,,,,,,,,,,,,
J16,mem_dataout<20>,IOB,IO_L44P_A3_M1DQ6_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J17,,,VCCO_1,,,1,,,,,2.50,,,,
J18,mem_dataout<21>,IOB,IO_L44N_A2_M1DQ7_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K1,mem_datain<10>,IOB,IO_L38N_M3DQ3_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
K2,mem_datain<9>,IOB,IO_L38P_M3DQ2_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
K3,load_R_D2,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K4,mem_datain<16>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
K5,set_mem_addr,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K6,mem_datain<20>,IOB,IO_L45N_M3ODT_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
K7,,,VCCAUX,,,,,,,,2.5,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,mem_dataout<0>,IOB,IO_L34P_A13_M1WE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K13,mem_dataout<1>,IOB,IO_L34N_A12_M1BA2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K14,mem_dataout<11>,IOB,IO_L39N_M1ODT_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K15,mem_dataout<14>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K16,mem_dataout<15>,IOB,IO_L41N_GCLK8_M1CASN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K17,mem_dataout<22>,IOB,IO_L45P_A1_M1LDQS_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K18,mem_dataout<23>,IOB,IO_L45N_A0_M1LDQSN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L1,mem_datain<8>,IOB,IO_L37N_M3DQ1_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
L2,mem_datain<7>,IOB,IO_L37P_M3DQ0_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
L3,mem_datain<12>,IOB,IO_L39N_M3LDQSN_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
L4,mem_datain<11>,IOB,IO_L39P_M3LDQS_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
L5,mem_datain<17>,IOB,IO_L43P_GCLK23_M3RASN_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
L6,len<6>,IOB,IO_L31P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L7,mem_datain<19>,IOB,IO_L45P_M3A3_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
L8,,,VCCINT,,,,,,,,1.2,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,mem_dataout<12>,IOB,IO_L40P_GCLK11_M1A5_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L13,mem_dataout<13>,IOB,IO_L40N_GCLK10_M1A6_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L14,len<1>,IOB,IO_L61P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L15,mem_dataout<16>,IOB,IO_L42P_GCLK7_M1UDM_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L16,mem_dataout<17>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L17,mem_dataout<24>,IOB,IO_L46P_FCS_B_M1DQ2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L18,mem_dataout<25>,IOB,IO_L46N_FOE_B_M1DQ3_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M1,mem_datain<6>,IOB,IO_L36N_M3DQ9_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
M2,,,GND,,,,,,,,,,,,
M3,mem_datain<5>,IOB,IO_L36P_M3DQ8_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
M4,,,VCCO_3,,,3,,,,,2.50,,,,
M5,len<7>,IOB,IO_L31N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M6,,,GND,,,,,,,,,,,,
M7,,,VCCINT,,,,,,,,1.2,,,,
M8,result<22>,IOB,IO_L40P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
M9,,,VCCAUX,,,,,,,,2.5,,,,
M10,result<10>,IOB,IO_L22P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
M11,result<2>,IOB,IO_L15P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,division_by_zero,IOB,IO_L61N_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,NO,NONE,
M14,load_R_Y,IOB,IO_L53P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M15,,,VCCO_1,,,1,,,,,2.50,,,,
M16,mem_dataout<26>,IOB,IO_L47P_FWE_B_M1DQ0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M17,,,GND,,,,,,,,,,,,
M18,mem_dataout<27>,IOB,IO_L47N_LDC_M1DQ1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N1,mem_datain<4>,IOB,IO_L35N_M3DQ11_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
N2,mem_datain<3>,IOB,IO_L35P_M3DQ10_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
N3,len<3>,IOB,IO_L1N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N4,len<2>,IOB,IO_L1P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,overflow,IOB,IO_L64P_D8_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
N6,ptr2<1>,IOB,IO_L47P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N7,result<28>,IOB,IO_L44P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
N8,result<23>,IOB,IO_L40N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
N9,result<11>,IOB,IO_L22N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
N10,result<8>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
N11,result<3>,IOB,IO_L15N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
N12,ptr1<10>,IOB,IO_L13P_M1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N13,,,GND,,,,,,,,,,,,
N14,sel_R_X,IOB,IO_L53N_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N15,load_R_res,IOB,IO_L50P_M1UDQS_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N16,div_abort,IOB,IO_L50N_M1UDQSN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N17,mem_dataout<28>,IOB,IO_L48P_HDC_M1DQ8_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N18,mem_dataout<29>,IOB,IO_L48N_M1DQ9_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P1,mem_datain<2>,IOB,IO_L34N_M3UDQSN_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
P2,mem_datain<1>,IOB,IO_L34P_M3UDQS_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
P3,len<5>,IOB,IO_L2N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P4,len<4>,IOB,IO_L2P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P5,,,VCCAUX,,,,,,,,2.5,,,,
P6,load_L,IOB,IO_L64N_D9_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P7,ptr2<2>,IOB,IO_L47N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P8,result<29>,IOB,IO_L44N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
P9,,,VCCO_2,,,2,,,,,2.50,,,,
P10,,,VCCAUX,,,,,,,,2.5,,,,
P11,result<9>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
P12,ptr1<11>,IOB,IO_L13N_D10_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P13,,,CMPCS_B_2,,,,,,,,,,,,
P14,,,VCCAUX,,,,,,,,2.5,,,,
P15,len<0>,IOB,IO_L74P_AWAKE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P16,rst_n,IOB,IO_L74N_DOUT_BUSY_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P17,mem_dataout<30>,IOB,IO_L49P_M1DQ10_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P18,mem_dataout<31>,IOB,IO_L49N_M1DQ11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R1,,,GND,,,,,,,,,,,,
R2,,,VCCO_3,,,3,,,,,2.50,,,,
R3,ptr2<7>,IOB,IO_L62P_D5_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R4,,,GND,,,,,,,,,,,,
R5,load_result,IOB,IO_L48P_D7_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R6,,,VCCO_2,,,2,,,,,2.50,,,,
R7,ptr2<3>,IOB,IO_L46P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R8,result<18>,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
R9,,,GND,,,,,,,,,,,,
R10,result<14>,IOB,IO_L29P_GCLK3_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
R11,result<4>,IOB,IO_L16P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
R12,,,VCCO_2,,,2,,,,,2.50,,,,
R13,ptr1<4>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,ptr1<0>,IOB,IO_L1P_CCLK_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R16,,,SUSPEND,,,,,,,,,,,,
R17,,,VCCO_1,,,1,,,,,2.50,,,,
R18,,,GND,,,,,,,,,,,,
T1,mem_datain<0>,IOB,IO_L33N_M3DQ13_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
T2,div_ready,IOB,IO_L33P_M3DQ12_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
T3,ptr2<8>,IOB,IO_L62N_D6_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T4,ptr2<9>,IOB,IO_L63P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T5,ptr2<4>,IOB,IO_L48N_RDWR_B_VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T6,result<30>,IOB,IO_L45P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
